epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.086,1.42716,1.31211,1.18421,0.63298,0.41452,0.4615,0.25177,1.51101,1.27387,1.15711,0.000664516,0.000664516,0.000664516
2,383.366,1.52245,1.15774,1.23686,0.62853,0.39732,0.43792,0.25897,1.50261,1.18211,1.15736,0.00132988,0.00132988,0.00132988
3,569.56,1.52189,1.14436,1.23439,0.68189,0.42278,0.48505,0.27015,1.52265,1.14047,1.15516,0.00199005,0.00199005,0.00199005
4,754.202,1.48828,1.08958,1.20988,0.69099,0.44534,0.509,0.29963,1.44785,1.04395,1.11724,0.00198246,0.00198246,0.00198246
5,939.465,1.43563,1.03938,1.18248,0.72573,0.44978,0.51665,0.30402,1.42609,0.97576,1.10445,0.0019689,0.0019689,0.0019689
6,1124.87,1.41856,1.01645,1.17271,0.72422,0.45929,0.53038,0.32201,1.3611,0.93618,1.08354,0.00195155,0.00195155,0.00195155
7,1311.23,1.39009,0.98686,1.15828,0.73786,0.47642,0.54893,0.32927,1.35046,0.97648,1.07788,0.00193048,0.00193048,0.00193048
8,1495.69,1.36877,0.95536,1.14254,0.73691,0.47886,0.54883,0.33116,1.34937,0.90953,1.07631,0.00190578,0.00190578,0.00190578
9,1678.61,1.34642,0.9381,1.13561,0.75441,0.47647,0.55566,0.3347,1.33462,0.89548,1.06337,0.00187754,0.00187754,0.00187754
10,1863.09,1.33641,0.93013,1.13513,0.75751,0.48294,0.56197,0.33568,1.32139,0.88304,1.05516,0.00184588,0.00184588,0.00184588
11,2047.26,1.32406,0.91178,1.12515,0.74634,0.4864,0.56163,0.34035,1.31427,0.93422,1.05289,0.00181093,0.00181093,0.00181093
12,2230.77,1.30355,0.88933,1.11246,0.76724,0.48832,0.56901,0.351,1.27488,0.83696,1.04152,0.00177281,0.00177281,0.00177281
13,2414.09,1.30155,0.89315,1.11395,0.75891,0.49528,0.56949,0.3519,1.27806,0.83397,1.03553,0.00173168,0.00173168,0.00173168
14,2597.33,1.28641,0.86857,1.10015,0.76295,0.49504,0.57662,0.35316,1.2803,0.82981,1.03679,0.0016877,0.0016877,0.0016877
15,2781.96,1.27506,0.86301,1.1003,0.7683,0.49968,0.58271,0.36032,1.26249,0.80536,1.02477,0.00164105,0.00164105,0.00164105
16,2966.61,1.27121,0.8551,1.09592,0.77042,0.50488,0.58626,0.3624,1.25189,0.81169,1.02935,0.00159191,0.00159191,0.00159191
17,3152.74,1.26182,0.84308,1.09169,0.77448,0.50352,0.59247,0.36712,1.24502,0.79118,1.02327,0.00154047,0.00154047,0.00154047
18,3338.4,1.24346,0.82778,1.08067,0.76512,0.51437,0.58868,0.36696,1.24358,0.82402,1.02386,0.00148694,0.00148694,0.00148694
19,3524.19,1.2451,0.82688,1.08269,0.77346,0.51619,0.59894,0.37328,1.23147,0.78647,1.01706,0.00143152,0.00143152,0.00143152
20,3708.2,1.23117,0.81697,1.07766,0.7762,0.51496,0.59835,0.3718,1.23208,0.77748,1.01467,0.00137444,0.00137444,0.00137444
21,3890.82,1.21628,0.80017,1.06834,0.78504,0.51814,0.60482,0.37861,1.21788,0.7605,1.00949,0.00131593,0.00131593,0.00131593
22,4072.31,1.21642,0.79749,1.06944,0.78035,0.51681,0.60354,0.37811,1.21443,0.75956,1.01008,0.0012562,0.0012562,0.0012562
23,4254.9,1.2074,0.78764,1.06525,0.77756,0.52537,0.60726,0.38258,1.20575,0.74957,1.00614,0.00119551,0.00119551,0.00119551
24,4437.18,1.19613,0.78084,1.06055,0.78263,0.52063,0.60268,0.3792,1.20884,0.74663,1.00767,0.00113408,0.00113408,0.00113408
25,4619.12,1.18321,0.77101,1.05529,0.77887,0.53042,0.61022,0.38421,1.19951,0.75529,0.99873,0.00107216,0.00107216,0.00107216
26,4801.8,1.18681,0.76801,1.05391,0.79067,0.52735,0.61233,0.38468,1.19945,0.73737,0.9992,0.00101,0.00101,0.00101
27,4984.62,1.18021,0.75775,1.04866,0.79003,0.52612,0.61033,0.38654,1.19193,0.72896,0.99611,0.000947837,0.000947837,0.000947837
28,5168.83,1.16443,0.74765,1.04681,0.79132,0.53256,0.61432,0.38984,1.1829,0.7264,0.99439,0.00088592,0.00088592,0.00088592
29,5353.71,1.1572,0.74068,1.03766,0.79386,0.53286,0.61801,0.39119,1.18333,0.72291,0.99421,0.000824492,0.000824492,0.000824492
30,5538.59,1.14792,0.72979,1.03693,0.79274,0.53376,0.61956,0.39329,1.17637,0.71456,0.9899,0.000763797,0.000763797,0.000763797
31,5723.42,1.14856,0.72773,1.03564,0.79015,0.53753,0.62052,0.39442,1.16983,0.71695,0.98487,0.000704073,0.000704073,0.000704073
32,5908.62,1.13976,0.71995,1.03046,0.79713,0.53208,0.62225,0.39601,1.17098,0.70757,0.98644,0.000645557,0.000645557,0.000645557
33,6096.94,1.13357,0.71305,1.02654,0.78984,0.54015,0.62148,0.39572,1.16749,0.70234,0.9869,0.000588479,0.000588479,0.000588479
34,6281.35,1.12702,0.71009,1.0273,0.79482,0.53878,0.62515,0.39928,1.16577,0.6964,0.98374,0.000533064,0.000533064,0.000533064
35,6465.72,1.12211,0.70355,1.02267,0.8099,0.53458,0.62743,0.40002,1.16768,0.69187,0.98363,0.000479531,0.000479531,0.000479531
36,6649.42,1.11521,0.69885,1.01988,0.80563,0.54299,0.63109,0.40213,1.16159,0.69212,0.98318,0.000428093,0.000428093,0.000428093
37,6833.59,1.10014,0.68243,1.0114,0.80205,0.5466,0.63241,0.40448,1.15471,0.68285,0.97951,0.00037895,0.00037895,0.00037895
38,7017.37,1.10841,0.68413,1.01263,0.80586,0.54142,0.63093,0.40357,1.15155,0.68585,0.97569,0.000332298,0.000332298,0.000332298
39,7201.61,1.09754,0.68096,1.01177,0.8047,0.54232,0.63188,0.40379,1.15143,0.68273,0.97593,0.000288321,0.000288321,0.000288321
40,7385.59,1.09323,0.67182,1.00897,0.80401,0.54522,0.63207,0.40485,1.14803,0.67767,0.97698,0.000247192,0.000247192,0.000247192
41,7568.89,1.03579,0.60421,0.9694,0.80259,0.53878,0.6275,0.40133,1.15628,0.69118,0.98018,0.000209073,0.000209073,0.000209073
42,7750.09,1.02567,0.5951,0.96581,0.80241,0.54201,0.63121,0.4035,1.1513,0.68364,0.97958,0.000174115,0.000174115,0.000174115
43,7930.76,1.02301,0.58846,0.96407,0.80621,0.5423,0.63253,0.4047,1.14893,0.67942,0.97915,0.000142456,0.000142456,0.000142456
44,8111.23,1.01374,0.58201,0.95956,0.81392,0.54149,0.6333,0.40554,1.15002,0.67527,0.97794,0.000114221,0.000114221,0.000114221
45,8292.44,1.00826,0.57759,0.95793,0.80908,0.5443,0.63429,0.40645,1.14737,0.6739,0.97561,8.95213e-05,8.95213e-05,8.95213e-05
46,8474.02,1.00592,0.57558,0.95765,0.8098,0.54412,0.63371,0.406,1.14799,0.67417,0.97541,6.8454e-05,6.8454e-05,6.8454e-05
