epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,444.099,1.78903,1.70252,0.00463,0.68667,0.46485,0.52765,0.28253,1.91409,1.4555,0.00625,0.000664516,0.000664516,0.000664516
2,875.592,1.93121,1.45213,0.00548,0.66589,0.46445,0.51972,0.29085,1.97404,1.63906,0.00662,0.00133067,0.00133067,0.00133067
3,1314.03,1.94614,1.43585,0.00556,0.68729,0.45142,0.5084,0.2877,1.95564,1.42019,0.00657,0.0019948,0.0019948,0.0019948
4,1744.17,1.92397,1.38646,0.00539,0.7026,0.47499,0.53867,0.31299,1.91483,1.38539,0.0063,0.00199314,0.00199314,0.00199314
5,2173.42,1.88957,1.35052,0.0052,0.72671,0.49558,0.56585,0.32501,1.8968,1.27834,0.00597,0.00198781,0.00198781,0.00198781
6,2603.39,1.886,1.33431,0.00516,0.73901,0.49545,0.57351,0.33567,1.85337,1.31298,0.00574,0.00198098,0.00198098,0.00198098
7,3032.84,1.85523,1.28355,0.00492,0.75067,0.49227,0.57296,0.33547,1.86905,1.29843,0.00568,0.00197265,0.00197265,0.00197265
8,3462.84,1.82065,1.25753,0.00478,0.73639,0.50796,0.58164,0.33939,1.83513,1.23154,0.00578,0.00196283,0.00196283,0.00196283
9,3892.39,1.80382,1.24063,0.00469,0.74573,0.49917,0.58013,0.34643,1.82827,1.24037,0.00565,0.00195155,0.00195155,0.00195155
10,4329.31,1.80432,1.22144,0.00464,0.75601,0.51322,0.59496,0.35697,1.81554,1.2374,0.00541,0.00193881,0.00193881,0.00193881
11,4758.15,1.78216,1.19613,0.00464,0.77503,0.52324,0.61037,0.36592,1.79539,1.17876,0.00535,0.00192464,0.00192464,0.00192464
12,5187.15,1.76559,1.18418,0.00454,0.7473,0.51722,0.59699,0.36446,1.77681,1.18076,0.0053,0.00190906,0.00190906,0.00190906
13,5616.54,1.77161,1.17951,0.00449,0.77885,0.52699,0.61567,0.37281,1.7707,1.15202,0.00521,0.0018921,0.0018921,0.0018921
14,6045.35,1.75656,1.16311,0.00437,0.76998,0.53362,0.61608,0.37641,1.74626,1.1488,0.00514,0.00187377,0.00187377,0.00187377
15,6482.21,1.73846,1.1504,0.00436,0.77189,0.53899,0.62308,0.38234,1.73271,1.12709,0.00506,0.00185411,0.00185411,0.00185411
16,6910.92,1.71436,1.13548,0.00432,0.78245,0.53619,0.62407,0.38164,1.7397,1.12437,0.00511,0.00183315,0.00183315,0.00183315
17,7339.34,1.71877,1.11751,0.00431,0.78513,0.5353,0.62581,0.38474,1.74456,1.12441,0.00507,0.00181093,0.00181093,0.00181093
18,7777.02,1.71289,1.11264,0.00421,0.78399,0.54165,0.6299,0.38852,1.72051,1.10787,0.00502,0.00178746,0.00178746,0.00178746
19,8205.51,1.70169,1.09369,0.0042,0.78469,0.55192,0.63714,0.3916,1.71619,1.09522,0.00494,0.0017628,0.0017628,0.0017628
20,8634.02,1.69597,1.08971,0.00415,0.7742,0.54421,0.62924,0.3914,1.70607,1.11089,0.00496,0.00173698,0.00173698,0.00173698
21,9063.27,1.67945,1.07468,0.00401,0.7743,0.55227,0.6387,0.39412,1.70253,1.16214,0.00489,0.00171004,0.00171004,0.00171004
22,9492.95,1.67462,1.07561,0.00409,0.79219,0.54948,0.64251,0.39931,1.69647,1.09179,0.00482,0.00168201,0.00168201,0.00168201
23,9921.63,1.66756,1.06894,0.00407,0.79283,0.55559,0.64678,0.40494,1.68223,1.05352,0.00468,0.00165295,0.00165295,0.00165295
24,10350.3,1.65412,1.06099,0.004,0.79161,0.55499,0.64356,0.40119,1.692,1.0841,0.00472,0.0016229,0.0016229,0.0016229
25,10779.4,1.65788,1.05189,0.00396,0.79501,0.55976,0.64681,0.404,1.69209,1.08155,0.00478,0.00159191,0.00159191,0.00159191
26,11207.9,1.64366,1.03798,0.00391,0.79636,0.56368,0.65258,0.40876,1.67994,1.0428,0.00469,0.00156001,0.00156001,0.00156001
27,11637.7,1.63989,1.03375,0.00387,0.80029,0.55865,0.65174,0.41052,1.66216,1.04653,0.00461,0.00152727,0.00152727,0.00152727
28,12066.5,1.62719,1.01551,0.00389,0.79178,0.57112,0.65631,0.41395,1.65618,1.0484,0.00456,0.00149374,0.00149374,0.00149374
29,12495.9,1.625,1.00591,0.00378,0.80126,0.56671,0.65883,0.41472,1.66462,1.03886,0.00457,0.00145945,0.00145945,0.00145945
30,12924.9,1.61632,1.01175,0.00382,0.79519,0.56987,0.65711,0.41432,1.64969,1.04288,0.00452,0.00142447,0.00142447,0.00142447
31,13353.6,1.60252,1.00043,0.00377,0.80911,0.57516,0.66524,0.41954,1.65643,1.03852,0.00453,0.00138886,0.00138886,0.00138886
32,13783.3,1.60679,0.99653,0.00376,0.80296,0.57014,0.66002,0.41814,1.64666,1.0462,0.00446,0.00135266,0.00135266,0.00135266
33,14213,1.60088,0.98055,0.00366,0.80827,0.57494,0.66656,0.42003,1.64801,1.02177,0.00445,0.00131593,0.00131593,0.00131593
34,14642.3,1.59022,0.98282,0.00366,0.81035,0.57417,0.6659,0.42321,1.63652,1.01983,0.0044,0.00127873,0.00127873,0.00127873
35,15071.8,1.579,0.96971,0.0036,0.80906,0.57619,0.66673,0.42313,1.63873,1.00776,0.00445,0.00124111,0.00124111,0.00124111
36,15500.6,1.57628,0.96229,0.00361,0.81063,0.57847,0.66895,0.42527,1.64046,1.00559,0.00442,0.00120314,0.00120314,0.00120314
37,15930.1,1.57673,0.96248,0.00357,0.81272,0.58258,0.67348,0.42706,1.62662,0.99848,0.0044,0.00116487,0.00116487,0.00116487
38,16359.4,1.56385,0.94939,0.00352,0.80963,0.58005,0.6701,0.4269,1.6302,1.01325,0.00439,0.00112636,0.00112636,0.00112636
39,16788.1,1.5536,0.95052,0.00355,0.81074,0.58086,0.67206,0.4279,1.62143,1.01268,0.00437,0.00108767,0.00108767,0.00108767
40,17216.8,1.54531,0.93703,0.00348,0.80906,0.58689,0.67761,0.43233,1.6125,1.00162,0.00432,0.00104887,0.00104887,0.00104887
41,17646.7,1.54942,0.93488,0.00347,0.81883,0.58289,0.67679,0.43293,1.61261,1.01127,0.00427,0.00101,0.00101,0.00101
42,18076.2,1.53973,0.93076,0.00344,0.81617,0.5863,0.67929,0.43302,1.61492,0.99254,0.00428,0.000971133,0.000971133,0.000971133
43,18514.6,1.52591,0.91299,0.00337,0.81284,0.58814,0.67911,0.43472,1.60537,0.98954,0.00426,0.000932325,0.000932325,0.000932325
44,18943.9,1.52267,0.91526,0.00337,0.81586,0.59043,0.68031,0.43492,1.60608,1.00351,0.00423,0.000893638,0.000893638,0.000893638
45,19372.9,1.50813,0.89965,0.00336,0.8206,0.58916,0.68119,0.43596,1.60508,0.99055,0.00424,0.00085513,0.00085513,0.00085513
46,19802.6,1.50882,0.89751,0.00336,0.82606,0.58686,0.6823,0.43623,1.6055,0.99802,0.00423,0.000816861,0.000816861,0.000816861
47,20242.3,1.50798,0.89016,0.00325,0.82381,0.59203,0.68405,0.43928,1.59737,0.98162,0.0042,0.000778889,0.000778889,0.000778889
48,20670.8,1.51497,0.89877,0.00334,0.82179,0.59445,0.68599,0.44171,1.58888,0.98606,0.00418,0.000741274,0.000741274,0.000741274
49,21099.9,1.49438,0.87999,0.00321,0.82308,0.59258,0.68635,0.44157,1.59611,0.97493,0.00421,0.000704073,0.000704073,0.000704073
50,21529.1,1.48795,0.87075,0.0032,0.82095,0.59325,0.68653,0.44207,1.58826,0.97723,0.00414,0.000667344,0.000667344,0.000667344
51,21968.3,1.48701,0.87004,0.00323,0.82766,0.59186,0.68585,0.44171,1.59047,0.9851,0.00414,0.000631143,0.000631143,0.000631143
52,22398.2,1.48051,0.86814,0.00317,0.82562,0.59514,0.69011,0.44382,1.58984,0.97901,0.00414,0.000595527,0.000595527,0.000595527
53,22827.5,1.48338,0.86488,0.00315,0.82137,0.59694,0.69003,0.44528,1.5858,0.97565,0.00412,0.000560549,0.000560549,0.000560549
54,23256.9,1.45626,0.84828,0.00315,0.82685,0.59706,0.69007,0.44473,1.58595,0.98409,0.00413,0.000526265,0.000526265,0.000526265
55,23685.9,1.46375,0.8483,0.0031,0.82233,0.59984,0.6903,0.44569,1.58232,0.98102,0.00412,0.000492726,0.000492726,0.000492726
56,24115.2,1.46863,0.84904,0.00312,0.82654,0.60048,0.69301,0.44705,1.57825,0.97507,0.00409,0.000459985,0.000459985,0.000459985
57,24545,1.45948,0.83784,0.00306,0.82529,0.60307,0.69351,0.44672,1.58134,0.97083,0.00411,0.000428093,0.000428093,0.000428093
58,24974.8,1.46754,0.84564,0.00309,0.82731,0.60058,0.69256,0.44754,1.57902,0.97782,0.00406,0.000397097,0.000397097,0.000397097
59,25420.4,1.45591,0.84052,0.00306,0.83864,0.5973,0.69325,0.44839,1.57784,0.97461,0.00408,0.000367046,0.000367046,0.000367046
60,25873.3,1.43648,0.82707,0.00302,0.83757,0.59765,0.69355,0.44847,1.57565,0.97636,0.00406,0.000337987,0.000337987,0.000337987
61,26302.6,1.43169,0.82197,0.003,0.83266,0.60022,0.69512,0.44905,1.57898,0.97354,0.00406,0.000309964,0.000309964,0.000309964
62,26731,1.42658,0.80789,0.00299,0.82849,0.6043,0.69556,0.44952,1.57421,0.97247,0.00406,0.000283021,0.000283021,0.000283021
63,27160.3,1.41509,0.80365,0.00297,0.83269,0.60496,0.69633,0.45002,1.57355,0.9716,0.00403,0.000257198,0.000257198,0.000257198
64,27598.5,1.42565,0.80786,0.00296,0.82751,0.60548,0.69733,0.45129,1.57072,0.96689,0.00402,0.000232536,0.000232536,0.000232536
65,28027,1.42477,0.81372,0.00296,0.83076,0.60455,0.69557,0.45033,1.57176,0.96972,0.00401,0.000209073,0.000209073,0.000209073
66,28455.9,1.43511,0.81593,0.00296,0.83233,0.60348,0.69611,0.45071,1.56994,0.97117,0.00401,0.000186845,0.000186845,0.000186845
67,28884,1.42105,0.8111,0.00294,0.83045,0.60376,0.69647,0.45122,1.56844,0.97072,0.00402,0.000165886,0.000165886,0.000165886
68,29310.6,1.41743,0.80453,0.00288,0.82809,0.6066,0.69756,0.45138,1.57162,0.96822,0.004,0.000146229,0.000146229,0.000146229
69,29738.9,1.41076,0.79984,0.00291,0.82874,0.60712,0.69891,0.45227,1.56913,0.96599,0.00399,0.000127904,0.000127904,0.000127904
70,30167.2,1.41608,0.80055,0.0029,0.82648,0.60835,0.69762,0.4517,1.57025,0.96865,0.004,0.000110938,0.000110938,0.000110938
71,30588.4,1.36584,0.73831,0.00285,0.82373,0.60507,0.69424,0.44768,1.5833,0.98107,0.00408,9.53593e-05,9.53593e-05,9.53593e-05
72,31008.5,1.35244,0.73204,0.00279,0.8279,0.60454,0.69535,0.44837,1.58019,0.97785,0.00406,8.11906e-05,8.11906e-05,8.11906e-05
73,31427.7,1.34518,0.7281,0.00276,0.827,0.6048,0.69552,0.44898,1.57875,0.97546,0.00405,6.8454e-05,6.8454e-05,6.8454e-05
74,31846.3,1.34733,0.72693,0.00277,0.82759,0.60473,0.69605,0.44905,1.5791,0.9736,0.00405,5.71693e-05,5.71693e-05,5.71693e-05
75,32265.2,1.34524,0.72731,0.00273,0.82465,0.60735,0.6962,0.44988,1.57768,0.97462,0.00405,4.73538e-05,4.73538e-05,4.73538e-05
76,32683.5,1.34094,0.72106,0.00273,0.82502,0.60692,0.6965,0.45007,1.57693,0.97225,0.00405,3.90226e-05,3.90226e-05,3.90226e-05
77,33101.5,1.33895,0.71696,0.00273,0.8292,0.60658,0.69719,0.45004,1.57761,0.97036,0.00405,3.21885e-05,3.21885e-05,3.21885e-05
78,33519.2,1.33713,0.71906,0.00276,0.82681,0.60789,0.69659,0.44998,1.57665,0.97142,0.00405,2.68622e-05,2.68622e-05,2.68622e-05
79,33937.4,1.3352,0.71525,0.00271,0.8271,0.60761,0.69635,0.4499,1.57625,0.97158,0.00405,2.30518e-05,2.30518e-05,2.30518e-05
80,34354.9,1.33482,0.71824,0.00272,0.82815,0.60776,0.69687,0.45027,1.5754,0.97212,0.00404,2.07633e-05,2.07633e-05,2.07633e-05
